Organism_Combination,Count
Anaerococcus vaginalis | Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus agalactiae,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida lusitaniae | Clavispora lusitaniae | Haemophilus influenzae | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Enterobacter cloacae complex | Escherichia coli | Pseudomonas aeruginosa | Streptococcus parasanguinis,1
Methicillin resistant Staphylococcus aureus | Proteus species | Serratia marcescens | Staphylococcus aureus | Streptococcus dysgalactiae,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Methicillin resistant Staphylococcus aureus | Providencia stuartii | Pseudomonas aeruginosa,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides species | Candida albicans | Diphtheroids | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Prevotella bivia | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Candida albicans | Escherichia coli | Moraxella osloensis | Streptococcus gallolyticus,1
Candida albicans | Klebsiella pneumoniae | Salmonella group C,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterobacter cloacae complex | Proteus mirabilis | Staphylococcus, coagulase negative",1
"Candida glabrata | Escherichia coli | Proteus mirabilis | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Aeromonas species | Citrobacter species | Enterobacter cloacae complex | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella species | Streptococcus constellatus,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus, coagulase negative | Streptococcus, group G",1
Candida albicans | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae complex | Morganella morganii | Proteus mirabilis,1
Escherichia coli | Klebsiella pneumoniae | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
Bacillus cereus group | Bacteroides species | Candida albicans | Enterococcus avium | Enterococcus casseliflavus | Escherichia coli | Lactococcus garvieae | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Candida species | Candida tropicalis | Mycobacterium avium complex,1
Candida albicans | Candida guilliermondii | Mycobacterium avium complex | Mycobacterium tuberculosis | Mycobacterium tuberculosis complex | Pseudomonas aeruginosa,1
Candida albicans | Escherichia coli | Porphyromonas gingivalis,1
Candida glabrata | Lactobacillus rhamnosus | Streptococcus parasanguinis,1
Candida albicans | Candida glabrata | Haemophilus influenzae | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecalis | Providencia stuartii,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Micrococcus species | Staphylococcus capitis,1
Alpha-haemolytic streptococcus | Candida albicans | Candida glabrata | Escherichia coli,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Cutibacterium modestum,1
Candida albicans | Enterococcus faecalis | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Staphylococcus capitis | Staphylococcus caprae | Staphylococcus lugdunensis,1
Bacillus cereus group | Candida tropicalis | Enterococcus faecalis | Escherichia coli | Lactobacillus paracasei | Pseudomonas aeruginosa | Rothia mucilaginosa,1
Alpha-haemolytic streptococcus | Haemophilus parainfluenzae | Neisseria species | Rothia mucilaginosa | Staphylococcus aureus,1
Cutibacterium species | Klebsiella aerogenes,1
Bacteroides vulgatus | Candida tropicalis | Methicillin resistant Staphylococcus aureus,1
Escherichia coli | Mycobacterium abscessus | Pseudomonas aeruginosa,1
Alpha-haemolytic streptococcus | Neisseria species | Prevotella melaninogenica | Rothia mucilaginosa,1
Candida species | Enterococcus faecium | Escherichia coli,1
Anaerobic Gram-negative cocci | Candida albicans | Citrobacter species | Enterobacter species | Enterococcus faecalis | Klebsiella species,1
Enterobacter cloacae complex | Parvimonas micra,1
Corynebacterium striatum | Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Morganella morganii | Peptoniphilus species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida species | Enterococcus faecalis | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Anaerobic bacteria | Enterococcus faecalis | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Enterococcus faecalis | Klebsiella pneumoniae | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus,1
"Bacteroides fragilis group | Gleimia europaea | Slackia exigua | Staphylococcus, coagulase negative",1
Clostridioides difficile | Corynebacterium jeikeium | Methicillin resistant Staphylococcus aureus,1
Candida albicans | Enterobacter cloacae complex | Morganella morganii,1
Anaerobic Gram-positive bacilli | Enterobacter species | Escherichia coli | Klebsiella aerogenes | Parvimonas micra | Streptococcus anginosus,1
"Acinetobacter bereziniae | Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Acinetobacter species | Alcaligenes faecalis | Arcanobacterium haemolyticum | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa | Streptococcus dysgalactiae | Streptococcus dysgalactiae subsp. equisimilis | Streptococcus, group G",1
Candida glabrata | Klebsiella pneumoniae complex | Serratia species | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Methicillin resistant Staphylococcus aureus | Salmonella Enteritidis | Staphylococcus aureus,1
Acinetobacter species | Escherichia coli | Proteus mirabilis,1
Enterococcus faecalis | Methicillin resistant Staphylococcus aureus | Providencia stuartii,1
Escherichia coli | Mycobacterium kansasii,1
Candida albicans | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Staphylococcus aureus | Streptococcus dysgalactiae,1
Acinetobacter species | Klebsiella pneumoniae complex | Streptococcus anginosus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Candida glabrata | Corynebacterium resistens | Corynebacterium striatum | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Escherichia coli | Pichia species,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Candida albicans | Corynebacterium striatum | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa | Stenotrophomonas maltophilia,1
"Aspergillus fumigatus | Staphylococcus, coagulase negative",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Morganella morganii | Staphylococcus, coagulase negative",1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium striatum | Enterococcus faecalis | Enterococcus faecium | Klebsiella pneumoniae | Pseudomonas aeruginosa,1
Anaerococcus vaginalis | Bacteroides fragilis | Enterococcus faecium | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Escherichia coli | Lactobacillus brevis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Pseudomonas aeruginosa,1
Corynebacterium striatum | Eggerthella lenta | Enterococcus avium | Enterococcus faecium | Proteus mirabilis | Pseudomonas aeruginosa,1
Candida albicans | Corynebacterium striatum | Enterococcus faecium | Klebsiella pneumoniae | Providencia stuartii,1
Escherichia coli | Klebsiella oxytoca | Shewanella species | Streptococcus anginosus,1
"Candida albicans | Staphylococcus aureus | Staphylococcus lugdunensis | Staphylococcus, coagulase negative",1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Corynebacterium pseudodiphtheriticum | Staphylococcus aureus | Staphylococcus, coagulase negative",1
Bacteroides fragilis | Escherichia coli | Finegoldia magna,1
Clostridium perfringens | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae | Staphylococcus epidermidis,1
Aspergillus species | Enterobacter cloacae complex | Escherichia coli | Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Gram-negative bacilli | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Methicillin resistant Staphylococcus aureus | Streptococcus agalactiae,1
Aeromonas species | Clostridium perfringens | Enterococcus casseliflavus | Escherichia coli | Klebsiella variicola,1
Clostridioides difficile | Escherichia coli | Staphylococcus aureus,1
Candida species | Enterococcus faecalis | Escherichia coli,1
"Candida albicans | Klebsiella pneumoniae complex | Proteus mirabilis | Staphylococcus, coagulase negative",1
Candida albicans | Enterococcus avium | Enterococcus faecium | Methicillin resistant Staphylococcus aureus | Morganella morganii | Proteus mirabilis | Pseudomonas aeruginosa | Serratia marcescens,1
Actinomyces graevenitzii | Neisseria species | Streptococcus parasanguinis | Veillonella dispar,1
"Candida albicans | Klebsiella pneumoniae | Streptococcus, viridans group",1
Candida tropicalis | Enterococcus faecium | Enterococcus gallinarum | Klebsiella pneumoniae complex,1
Citrobacter species | Corynebacterium species | Escherichia coli | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
"Candida albicans | Enterococcus faecalis | Staphylococcus haemolyticus | Staphylococcus, coagulase negative",1
Anaerobic Gram-positive cocci | Escherichia coli | Pseudomonas species | Staphylococcus aureus,1
Aeromonas species | Enterococcus hirae | Klebsiella aerogenes | Streptococcus mitis group | Streptococcus parasanguinis,1
Alpha-haemolytic streptococcus | Escherichia coli | Klebsiella species | Neisseria species | Pseudomonas aeruginosa,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Citrobacter species | Corynebacterium striatum | Diphtheroids | Methicillin resistant Staphylococcus aureus | Peptostreptococcus anaerobius | Peptostreptococcus species,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Citrobacter species | Coliform bacteria | Corynebacterium species | Diphtheroids | Enterococcus faecalis | Escherichia coli | Klebsiella pneumoniae complex | Methicillin resistant Staphylococcus aureus | Propionibacterium species | Proteus mirabilis | Providencia species | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus, coagulase negative | Stenotrophomonas maltophilia | Streptococcus, group G",1
Acid-fast bacillus | Mycobacterium avium complex | Staphylococcus aureus | Tsukamurella tyrosinosolvens,1
Escherichia coli | Morganella morganii | Pseudomonas aeruginosa | Staphylococcus aureus,1
Candida albicans | Enterococcus avium | Escherichia coli | Methicillin resistant Staphylococcus aureus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Escherichia coli | Providencia rettgeri | Pseudomonas aeruginosa,1
Corynebacterium urealyticum | Methicillin resistant Staphylococcus aureus | Pseudomonas aeruginosa,1
Escherichia coli | Klebsiella pneumoniae complex | Morganella morganii | Streptococcus gallolyticus,1
Acinetobacter baumannii | Escherichia coli | Methicillin resistant Staphylococcus aureus | Proteus mirabilis | Staphylococcus pettenkoferi,1
Candida parapsilosis | Pseudomonas aeruginosa | Staphylococcus lugdunensis,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Diphtheroids | Enterobacter species,1
Acid-fast bacillus | Candida albicans | Klebsiella pneumoniae | Mycobacterium abscessus,1
Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Candida albicans | Corynebacterium striatum | Diphtheroids | Klebsiella pneumoniae | Methicillin resistant Staphylococcus aureus | Prevotella intermedia | Pseudomonas aeruginosa | Staphylococcus aureus | Staphylococcus epidermidis,1
"Corynebacterium species | Enterococcus faecium | Lactobacillus gasseri | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
"Haemophilus parahaemolyticus | Klebsiella pneumoniae | Neisseria species | Streptococcus, viridans group",1
Bacteroides nordii | Bacteroides vulgatus | Candida albicans | Diphtheroids | Enterococcus avium | Enterococcus faecium | Escherichia coli | Klebsiella pneumoniae,1
Alpha-haemolytic streptococcus | Aspergillus fumigatus | Aspergillus species | Haemophilus influenzae | Neisseria species | Rothia mucilaginosa,1
"Morganella morganii | Pseudomonas aeruginosa | Streptococcus, group G",1
Actinomyces odontolyticus | Enterobacter cloacae complex | Klebsiella aerogenes | Neisseria species | Serratia marcescens | Streptococcus mitis group,1
Corynebacterium simulans | Escherichia coli | Finegoldia magna | Prevotella bivia | Staphylococcus lugdunensis,1
"Alpha-haemolytic streptococcus | Cutibacterium acnes | Enterobacter species | Enterococcus faecalis | Klebsiella pneumoniae | Neisseria species | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
"Arcanobacterium haemolyticum | Corynebacterium striatum | Peptoniphilus species | Staphylococcus, coagulase negative | Streptococcus dysgalactiae",1
Bacillus species | Candida glabrata | Klebsiella aerogenes,1
Enterococcus species | Malassezia species | Methicillin resistant Staphylococcus aureus | Neisseria species,1
Bacteroides vulgatus | Clostridium perfringens,1
"Acinetobacter calcoaceticus-Acinetobacter baumannii complex | Bacteroides fragilis | Diphtheroids | Klebsiella aerogenes | Klebsiella pneumoniae | Pseudomonas aeruginosa | Staphylococcus, coagulase negative",1
Bacteroides ovatus | Enterococcus faecium | Escherichia coli | Fusobacterium mortiferum | Gemella species,1
"Escherichia coli | Neisseria species | Prevotella melaninogenica | Staphylococcus, coagulase negative | Streptococcus gordonii | Streptococcus mitis group | Streptococcus parasanguinis",1
